lr-Adam,step,tr_loss,epoch,val_loss
0.01,0,,,
,2,11.546144485473633,0,
,5,11.300578117370605,0,
,8,11.18692684173584,0,
,11,11.043251037597656,0,
,14,10.926572799682617,0,
,17,10.723587036132812,0,
,20,10.497806549072266,0,
,23,10.352645874023438,0,
,26,10.241586685180664,0,
,29,10.114442825317383,0,
,31,,0,9.919960021972656
0.01,32,,,
,32,9.915098190307617,1,
,35,9.61000919342041,1,
,38,9.817941665649414,1,
,41,9.715384483337402,1,
,44,9.463430404663086,1,
,47,9.373088836669922,1,
,50,9.340596199035645,1,
,53,9.159502029418945,1,
,56,8.84345531463623,1,
,59,8.749344825744629,1,
,62,8.619314193725586,1,
,63,,1,8.516667366027832
0.01,64,,,
,65,8.680009841918945,2,
,68,8.256318092346191,2,
,71,8.07991886138916,2,
,74,8.057476043701172,2,
,77,8.28884506225586,2,
,80,7.775254249572754,2,
,83,8.253951072692871,2,
,86,8.016108512878418,2,
,89,7.578544616699219,2,
,92,7.493556022644043,2,
,95,7.687410831451416,2,
,95,,2,7.534581184387207
0.01,96,,,
,98,7.482965469360352,3,
,101,7.2862725257873535,3,
,104,7.225279808044434,3,
,107,7.718194961547852,3,
,110,7.411151885986328,3,
,113,7.117109298706055,3,
,116,7.007842063903809,3,
,119,7.2096757888793945,3,
,122,7.754155158996582,3,
,125,6.97269344329834,3,
,127,,3,6.881784915924072
0.01,128,,,
,128,6.795771598815918,4,
,131,6.7515387535095215,4,
,134,6.366783142089844,4,
,137,6.689234256744385,4,
,140,7.000912189483643,4,
,143,6.545587062835693,4,
,146,6.532773017883301,4,
,149,6.587777137756348,4,
,152,6.311281204223633,4,
,155,6.757557392120361,4,
,158,6.886632442474365,4,
,159,,4,6.42473840713501
0.01,160,,,
,161,6.861907005310059,5,
,164,6.476598739624023,5,
,167,6.759509086608887,5,
,170,6.093717575073242,5,
,173,6.691091537475586,5,
,176,6.576425075531006,5,
,179,6.414494037628174,5,
,182,6.046270370483398,5,
,185,6.22158145904541,5,
,188,6.576995849609375,5,
,191,5.901517868041992,5,
,191,,5,6.103933811187744
0.01,192,,,
,194,6.5947747230529785,6,
,197,5.782671928405762,6,
,200,6.25109338760376,6,
,203,6.0814971923828125,6,
,206,6.544114589691162,6,
,209,5.489902019500732,6,
,212,6.0350446701049805,6,
,215,6.327839374542236,6,
,218,6.077921390533447,6,
,221,5.9448723793029785,6,
,223,,6,5.86529541015625
0.01,224,,,
,224,6.457463264465332,7,
,227,6.049360752105713,7,
,230,6.060140609741211,7,
,233,6.029437065124512,7,
,236,5.72369384765625,7,
,239,6.221207618713379,7,
,242,4.93684720993042,7,
,245,5.710415840148926,7,
,248,6.326375961303711,7,
,251,5.941013336181641,7,
,254,5.760348320007324,7,
,255,,7,5.68411922454834
0.01,256,,,
,257,5.847838878631592,8,
,260,6.089513301849365,8,
,263,4.964478492736816,8,
,266,5.950048446655273,8,
,269,5.134763240814209,8,
,272,4.96955680847168,8,
,275,5.509855270385742,8,
,278,5.68780517578125,8,
,281,5.535586357116699,8,
,284,5.469476699829102,8,
,287,5.994288921356201,8,
,287,,8,5.541745185852051
0.01,288,,,
,290,5.285833358764648,9,
,293,5.861369609832764,9,
,296,5.696905612945557,9,
,299,5.0392656326293945,9,
,302,5.2939348220825195,9,
,305,5.509668350219727,9,
,308,5.41766357421875,9,
,311,5.19903564453125,9,
,314,5.503200531005859,9,
,317,6.481733322143555,9,
,319,,9,5.425978660583496
